place_id,place_name,source,source_id,rating,text,author_name,author_profile_url,published_at,raw,category,created_at,updated_at
2,Ocala Downtown,yelp,ocala-1,4.5,Loved it!,David Red,,2025-03-16 00:00:00,"{""city"":""Ocala""}",Downtown,2025-03-16 00:00:00,2025-03-16 00:00:00
5,Ocala Coffee House,yelp,ocala-2,3.4,Loved it!,Bob Johnson,,2025-03-19 00:00:00,"{""city"":""Ocala""}",Cafe,2025-03-19 00:00:00,2025-03-19 00:00:00
10,Ocala Cinema,yelp,ocala-3,3.8,Loved it!,Alice Brown,,2024-11-10 00:00:00,"{""city"":""Ocala""}",Cinema,2024-11-10 00:00:00,2024-11-10 00:00:00
8,Ocala Botanical Garden,yelp,ocala-4,3.4,Highly recommended.,Michael Blue,,2025-10-02 00:00:00,"{""city"":""Ocala""}",Garden,2025-10-02 00:00:00,2025-10-02 00:00:00
4,Ocala Farmers Market,yelp,ocala-5,4.2,Could be better.,John Doe,,2024-12-21 00:00:00,"{""city"":""Ocala""}",Market,2024-12-21 00:00:00,2024-12-21 00:00:00
4,Ocala Farmers Market,yelp,ocala-6,3.8,Amazing experience!,John Doe,,2025-02-02 00:00:00,"{""city"":""Ocala""}",Market,2025-02-02 00:00:00,2025-02-02 00:00:00
8,Ocala Botanical Garden,yelp,ocala-7,4.9,Loved it!,James Green,,2024-11-08 00:00:00,"{""city"":""Ocala""}",Garden,2024-11-08 00:00:00,2024-11-08 00:00:00
3,Ocala Art Museum,yelp,ocala-8,3.7,Highly recommended.,Linda Black,,2025-05-28 00:00:00,"{""city"":""Ocala""}",Museum,2025-05-28 00:00:00,2025-05-28 00:00:00
2,Ocala Downtown,yelp,ocala-9,4.0,Would visit again.,Mary White,,2025-07-30 00:00:00,"{""city"":""Ocala""}",Downtown,2025-07-30 00:00:00,2025-07-30 00:00:00
6,Ocala Library,yelp,ocala-10,4.9,Five stars!,Alice Brown,,2025-09-29 00:00:00,"{""city"":""Ocala""}",Library,2025-09-29 00:00:00,2025-09-29 00:00:00
2,Ocala Downtown,yelp,ocala-11,4.9,Amazing experience!,David Red,,2025-01-09 00:00:00,"{""city"":""Ocala""}",Downtown,2025-01-09 00:00:00,2025-01-09 00:00:00
7,Ocala Zoo,yelp,ocala-12,4.4,Friendly staff and clean.,John Doe,,2025-03-22 00:00:00,"{""city"":""Ocala""}",Zoo,2025-03-22 00:00:00,2025-03-22 00:00:00
9,Ocala Historical Museum,yelp,ocala-13,3.8,Not bad.,Jane Smith,,2025-09-23 00:00:00,"{""city"":""Ocala""}",Museum,2025-09-23 00:00:00,2025-09-23 00:00:00
9,Ocala Historical Museum,yelp,ocala-14,4.9,Friendly staff and clean.,John Doe,,2025-09-28 00:00:00,"{""city"":""Ocala""}",Museum,2025-09-28 00:00:00,2025-09-28 00:00:00
9,Ocala Historical Museum,yelp,ocala-15,3.7,Amazing experience!,James Green,,2024-11-25 00:00:00,"{""city"":""Ocala""}",Museum,2024-11-25 00:00:00,2024-11-25 00:00:00
7,Ocala Zoo,yelp,ocala-16,4.5,Amazing experience!,David Red,,2025-01-13 00:00:00,"{""city"":""Ocala""}",Zoo,2025-01-13 00:00:00,2025-01-13 00:00:00
7,Ocala Zoo,yelp,ocala-17,4.4,Would visit again.,Michael Blue,,2025-05-01 00:00:00,"{""city"":""Ocala""}",Zoo,2025-05-01 00:00:00,2025-05-01 00:00:00
6,Ocala Library,yelp,ocala-18,3.8,Would visit again.,John Doe,,2025-01-24 00:00:00,"{""city"":""Ocala""}",Library,2025-01-24 00:00:00,2025-01-24 00:00:00
9,Ocala Historical Museum,yelp,ocala-19,3.4,Loved it!,Mary White,,2025-09-21 00:00:00,"{""city"":""Ocala""}",Museum,2025-09-21 00:00:00,2025-09-21 00:00:00
1,Ocala City Park,yelp,ocala-20,4.4,Would visit again.,Michael Blue,,2025-01-01 00:00:00,"{""city"":""Ocala""}",Park,2025-01-01 00:00:00,2025-01-01 00:00:00
